약국ID,주소,약국명,대표전화1,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업일시
C1103826,서울특별시 강남구 논현로 52 남현빌딩 1층 (개포동),강남세계로약국,02-572-2720,2130,2130,2130,2130,2130,2130,2000,1900,900,900,900,900,900,900,1030,1030,63,12,127.0475814,37.47521159,42:04.0
C1109567,서울특별시 강남구 테헤란로4길 6 강남역 센트럴 푸르지오 시티 1층 118호 (역삼동),강남썬약국,02-567-7637,2130,2130,2130,2130,2130,1930,2000,1900,950,950,950,950,950,950,1030,1030,62,32,127.0292864,37.49766742,42:04.0
C1107656,서울특별시 강남구 강남대로 416 1층 (역삼동 창림빌딩),강남씨티약국,02-553-1608,2130,2130,2130,2130,2130,2130,2030,2030,830,830,830,830,830,830,1000,1000,61,29,127.0271595,37.49979754,42:04.0
C1104119,서울특별시 서초구 강남대로 463 102호 (서초동리젠타워),강남약국,070-7755-2030,2100,2100,2100,2100,2100,1900,2030,2030,900,900,900,900,900,900,1000,1000,66,11,127.0244556,37.50347063,42:04.0
C1107458,서울특별시 금천구 남부순환로 1372 (독산동 현경빌딩),강남약국,02-851-1630,1800,1800,1800,1800,1800,1900,2030,2030,900,900,900,900,900,900,1000,1000,85,37,126.9034751,37.47945973,42:04.0
C1101935,서울특별시 강동구 양재대로 1355,강남약국,02-486-7823,2100,2100,2100,2100,2100,1900,1500,2030,900,900,900,900,900,900,900,1000,54,4,127.135744,37.5276135,42:04.0
C1109069,서울특별시 서초구 서초대로77길 9 강남 누드죤빌딩 104호 (서초동),강남엘약국,02-533-7737,2000,2000,2000,2000,2100,1800,1500,2030,1000,1000,1000,1000,1000,930,900,1000,66,15,127.0262133,37.49858942,42:04.0
C1109584,서울특별시 강남구 강남대로 388 강남센타빌딩 지하 2층 2호 (역삼동),강남역2번출구약국,02-565-5490,1930,1930,1930,1930,2000,1700,1100,2030,930,930,830,930,930,800,830,1000,62,32,127.0284225,37.49744958,42:04.0
C1108170,서울특별시 강남구 테헤란로4길 6 지하1층 b106호 (역삼동),강남역스타약국,02-6326-8908,2100,2100,2030,2100,2100,1700,1100,2030,900,900,900,900,900,900,830,1000,62,32,127.0292848,37.49766706,42:04.0
C1108450,서울특별시 강남구 선릉로 406 102호 (대치동),강남온누리약국,02-566-6480,2100,2100,2100,2100,2100,1900,2200,2200,800,800,800,800,800,900,800,800,61,98,127.0508323,37.50115565,42:04.0
C1104835,서울특별시 강남구 테헤란로 403,강남우리약국,02-565-7940,1930,1930,1930,1930,1930,1630,2200,2200,830,830,830,830,830,830,800,800,61,62,127.0495514,37.5050686,42:04.0
C1103947,서울특별시 강남구 강남대로 432 점프밀라노 지하1층 101호 (역삼동),강남웰약국,02-6440-5656,2230,2230,2230,2230,2230,2230,2030,2100,900,900,900,900,900,900,1000,1000,61,29,127.0266308,37.50123567,42:04.0
C1108262,서울특별시 강남구 언주로 639 1층 (논현동),강남정성약국,02-3446-9720,2000,2000,2000,2000,2000,1500,2030,2100,900,900,900,900,900,900,1000,1000,61,5,127.0349601,37.51361691,42:04.0
C1101938,서울특별시 강남구 테헤란로 139,강남제일약국,02-555-7790,2000,2000,2000,2000,2000,1630,2030,2100,1000,1000,1000,1000,1000,1000,1000,1000,61,32,127.0343899,37.50035616,42:04.0
C1103935,서울특별시 강남구 남부순환로361길 6 105호 (도곡동),강남조은약국,02-571-9515,1800,1800,1800,1800,1800,1400,2030,2100,830,830,830,830,830,830,1000,1000,62,68,127.0375707,37.48559401,42:04.0
C1109110,서울특별시 강남구 강남대로94길 27 1층 105호 (역삼동),강남차차약국,02-6465-4152,2100,2100,2100,2100,2100,2000,2030,2100,830,830,830,830,830,1500,1000,1000,61,30,127.0295068,37.49985293,42:04.0
C1101939,서울특별시 강남구 도산대로 104 (논현동 1st Avenue),강남퍼스트약국,02-515-7292,2100,2100,2100,2100,2100,1800,2030,2100,1000,1000,1000,1000,1000,1000,1000,1000,60,38,127.0203424,37.51607827,42:04.0
C1103508,서울특별시 강남구 학동로 323 (논현동 한미빌딩),강남프라자약국,02-514-4222,2100,2100,2100,2100,2100,2100,2000,2100,900,900,900,900,900,900,1000,900,60,60,127.0383413,37.51657476,42:04.0
C1103023,서울특별시 강남구 학동로 342,강남허브약국,02-3014-9272,2030,2030,2030,2030,2030,1800,2000,2100,830,830,830,830,830,830,1000,900,60,99,127.0410391,37.51679913,42:04.0
C1108720,서울특별시 강동구 양재대로 1465 마루홈타운 107호 (길동),강동더본약국,02-477-8280,2030,2030,2030,2030,2030,1930,2000,2100,830,830,830,830,830,830,1000,900,53,53,127.1393143,37.53683992,42:04.0
C1101883,서울특별시 강동구 올림픽로 686,강동메디칼약국,02-483-0108,2100,2100,2100,2100,2100,1300,2000,2100,830,830,830,830,830,900,1000,900,53,27,127.1250257,37.54250239,42:04.0
C1109427,서울특별시 영등포구 영중로 125 롯데마트 1층 (영등포동8가),365마트약국,02-2633-4865,2200,2200,2200,2200,2200,2200,2200,2200,1000,1000,1000,1000,1000,1000,1000,1000,72,28,126.9046835,37.52781676,42:03.0
C1101884,서울특별시 강동구 올림픽로 782,강동미래약국,02-442-6263,1930,1930,1930,1930,1930,1700,2000,2100,900,900,900,900,900,900,1000,900,52,64,127.1281132,37.550936,42:04.0
C1101885,서울특별시 강동구 성내로 40  (성내동),강동보건약국,02-488-4100,1900,1900,1900,1900,1900,1500,2000,2100,900,900,900,900,900,900,1000,900,53,99,127.1246185,37.52881493,42:04.0
C1108330,서울특별시 강동구 동남로73길 13 1층 (명일동),강동새경희약국,02-3428-0100,1900,1900,1900,1900,1900,1600,2000,2100,900,900,900,900,900,900,1000,900,52,69,127.1554628,37.55274212,42:04.0
C1107806,서울특별시 강남구 강남대로 292 3층 (도곡동 뱅뱅빌딩),강남맑은약국,02-573-8798,1830,1830,1830,1800,1830,1400,1700,1700,900,900,900,900,900,900,900,900,62,58,127.0321988,37.48937703,41:52.0
C1109073,서울특별시 강동구 진황도로 81 강동투웨니퍼스트 1층 101호 (길동),강동성실약국,02-478-7001,2300,2300,2300,2300,2300,2200,2200,2200,900,900,900,900,900,900,1400,1400,53,54,127.1357071,37.53670401,42:04.0
C1107888,서울특별시 강동구 천호대로 1111 1층 (길동 정우빌딩),강동소망약국,02-487-6464,1900,1900,1900,1900,1900,1500,2200,2200,830,830,830,830,830,830,1400,1400,53,55,127.1351063,37.53538149,42:04.0
C1108640,서울특별시 강동구 양재대로 1473 희헌타워 1층 (길동),강동솔약국,02-474-2696,2100,2100,2100,2100,2100,2100,2200,2200,900,900,900,900,900,900,1400,1400,53,53,127.1395888,37.53751219,42:04.0
C1108694,서울특별시 강동구 천호대로 1195 지앤지타워 1층 101호 (길동),강동엠약국,02-472-3311,1900,1900,1900,1900,1900,1300,2200,2200,900,900,900,900,900,900,1400,1400,53,50,127.1439077,37.53503944,42:04.0
C1109272,서울특별시 강동구 양재대로 1570 미래빌딩 1층 (명일동),강동온누리약국,02-2135-7572,2100,2100,2100,2100,2100,1800,1700,2200,900,900,900,900,900,900,1000,1400,52,96,127.1432421,37.54566357,42:04.0
C1101886,서울특별시 강동구 천호대로173길 12,강동우리약국,02-479-1150,1830,1900,1830,1830,1830,1330,1700,2200,830,830,830,830,830,830,1000,1400,53,55,127.1355411,37.53561816,42:04.0
C1109380,서울특별시 강동구 동남로 891 103호 (명일동),강동원약국,02-6081-0101,1800,1800,1800,1800,1800,1300,1700,2200,900,900,900,900,900,900,1000,1400,52,69,127.1559477,37.55331857,42:04.0
C1108786,서울특별시 강동구 천호대로 1124 1층 (성내동),강동웰빙약국,02-473-4959,2000,2000,2000,2000,2000,1530,1700,2200,900,900,900,900,900,830,1000,1400,53,73,127.1361921,37.53433608,42:04.0
C1103357,서울특별시 강동구 양재대로 1343 (성내동),강동태평양약국,02-473-3377,2240,2240,2240,2240,2240,2240,2200,2200,900,900,900,900,900,900,900,900,54,5,127.1352756,37.52634904,42:04.0
C1107508,서울특별시 강동구 진황도로 74 (천호동),강동포도약국,02-423-3005,2000,2000,2000,2000,2000,1500,2200,2200,830,830,830,830,830,900,900,900,53,39,127.1347785,37.53680545,42:04.0
C1103014,서울특별시 강동구 올림픽로 624,강동프라자약국,02-470-0203,1930,1930,1930,1930,1930,1430,2200,2200,840,840,840,840,840,840,900,900,53,78,127.1232698,37.53705862,42:04.0
C1102804,서울특별시 강동구 올림픽로 778,강동한우리약국,02-481-3237,2200,2200,2200,2200,2200,2130,2100,1930,900,900,900,900,900,900,1000,930,52,64,127.1279448,37.5504064,42:04.0
C1102825,서울특별시 강동구 양재대로 1589,강동해오름약국,02-474-4666,1930,1930,1930,1930,1930,1700,2100,1930,900,900,900,900,900,900,1000,930,53,7,127.1430083,37.54749533,42:04.0
C1104363,서울특별시 동작구 시흥대로 668-2 (신대방동),강림약국,02-832-8975,2130,2130,2130,2130,2130,2130,2100,1930,900,900,900,900,900,900,1000,930,70,68,126.9085621,37.49106156,42:04.0
C1101896,서울특별시 광진구 광나루로56길 63 (구의동) 프라임프라자상가 1층,강변그랜드약국,02-447-4842,2100,2100,2100,2100,2100,1800,1800,1930,830,830,830,830,830,830,900,930,51,19,127.0961598,37.53678915,42:04.0
C1108680,서울특별시 강북구 도봉로49길 8 1층 (미아동),강북김약국,02-980-1717,2000,2000,2000,2000,2000,1500,1800,1930,900,900,900,900,900,900,900,930,11,70,127.0259544,37.62527555,42:04.0
C1103266,서울특별시 강북구 도봉로 79 (미아동),강북다모아약국,02-945-2088,1900,1900,1900,1900,1900,1600,1800,1930,900,900,900,900,900,900,900,930,12,5,127.0295433,37.61631842,42:04.0
C1101898,서울특별시 강북구 도봉로 190 (미아동),강북메디칼약국,02-981-9512,1930,1930,1930,1930,1930,1630,1800,1930,900,900,900,900,900,900,900,930,11,57,127.0267738,37.62585141,42:04.0
C1104652,서울특별시 동대문구 전농로 110 1층 (답십리동),강북열린약국,02-2248-5023,2000,2000,2000,2000,2000,1530,1800,1930,830,830,830,830,830,830,900,930,25,38,127.0577239,37.57461442,42:04.0
C1108406,서울특별시 강북구 한천로 1081 1층 (수유동),강북우리약국,02-900-8345,2100,2100,2100,2100,2100,1800,1800,1930,900,900,900,900,900,900,900,930,10,70,127.0229692,37.64247283,42:04.0
C1103420,서울특별시 강북구 도봉로37길 7 1층 (미아동),강북제일약국,02-985-3116,2000,2000,2000,2000,2000,1600,1800,1930,900,900,900,900,900,900,900,930,11,75,127.0271044,37.62230428,42:04.0
C1108968,서울특별시 강동구 아리수로93나길 26 성산타워 109110호 (강일동),강빛약국,02-6949-5111,2000,2000,2000,2000,2000,1500,1400,1400,830,830,830,830,830,830,830,830,52,1,127.1733282,37.57177069,42:04.0
C1109027,서울특별시 강서구 까치산로4길 3 1층 (화곡동),강서메디칼약국,02-2602-4567,2100,2100,2100,2100,2100,2100,1400,2100,900,900,900,900,900,900,830,900,77,22,126.8441388,37.54249364,42:04.0
C1108288,서울특별시 강서구 양천로30길 123-28 1층 (마곡동),강서보건약국,02-2058-7501,2000,2000,2000,2000,2000,1500,1900,1700,900,900,900,900,900,900,1500,1000,75,95,126.8238347,37.56729251,42:04.0
C1101899,서울특별시 강서구 등촌로 75 지덕빌딩 (등촌동),강서약국,02-2644-2154,2200,2200,2200,2200,2200,2200,1900,1600,900,900,900,900,900,900,1500,900,77,34,126.863203,37.53671393,42:04.0
C1104295,서울특별시 강서구 화곡로 346 103호 (화곡동귀뚜라미홈시스텔),강서연세약국,02-2606-1531,1930,1930,1930,1930,1930,1600,1900,1600,740,740,740,740,740,740,1500,900,76,53,126.8520111,37.55448333,42:04.0
C1104054,서울특별시 강서구 양천로 401 109-2호 (가양동 강서한강자이타워A동),강서자이온누리약국,02-2638-5233,2000,2000,2000,2000,2000,1600,1900,1600,800,800,800,800,800,900,1500,900,75,28,126.8476433,37.56570249,42:04.0
C1101989,서울특별시 강서구 강서로 257  (내발산동),강서종로약국,02-2606-8268,2130,2130,2130,2130,2130,2100,1900,2100,830,830,830,830,830,830,1500,930,76,39,126.8360378,37.54866066,42:04.0
C1109468,서울특별시 강서구 마곡서로 56 마곡에스비타워Ⅲ 1층 103호 (마곡동),강서튼튼약국,02-2662-4904,2030,2030,2030,2030,2030,1800,1900,1800,900,900,900,900,900,900,1500,900,78,7,126.8239211,37.55900042,42:04.0
C1101990,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥 1층 (등촌동),강서홈약국,02-2659-1823,2230,2230,2230,2230,2230,1800,2230,2230,1000,1000,1000,1000,1000,900,1000,1000,75,67,126.8548245,37.55847113,42:04.0
C1101992,서울특별시 양천구 화곡로 105 (신월동),강약국,02-2698-3027,1800,1800,1800,1800,1800,1300,2230,2230,900,900,900,900,900,900,1000,1000,79,3,126.8336038,37.54004927,42:04.0
C1101993,서울특별시 강동구 올림픽로80길 43,강약국,02-477-0940,1930,1930,1930,1930,1930,1600,2230,2230,900,900,900,900,900,900,1000,1000,53,24,127.1276609,37.54307984,42:04.0
C1103011,서울특별시 서대문구 세검정로1길 7 (홍은동),강약국,02-396-9677,1900,1900,1900,1900,1900,1400,2230,2230,900,900,900,900,900,900,1000,1000,36,15,126.942285,37.59212454,42:04.0
C1101991,서울특별시 동작구 서달로 158 (흑석동 명수대상가104호),강약국,02-816-8766,2100,2100,2100,2100,2100,1900,2230,2230,900,900,900,900,900,900,1000,1000,69,79,126.9622651,37.50727658,42:04.0
C1104257,서울특별시 관악구 대학길 36 (신림동),강원약국,02-874-4575,2130,2130,2130,2130,2130,2130,2230,2130,900,900,900,900,900,900,1000,900,88,13,126.9375731,37.46912466,42:04.0
C1104643,서울특별시 성북구 아리랑로 117-7 (정릉동),강원약국,02-914-8814,2030,2030,2030,2030,2030,2030,2230,2130,900,900,900,900,900,900,1000,900,28,20,127.0130096,37.60248852,42:04.0
C1109074,서울특별시 강동구 아리수로93나길 54 경서프라자 103호 (강일동),강일수약국,02-428-4070,1800,1800,1800,1800,1800,1800,2230,2130,900,900,900,900,900,900,1000,900,52,1,127.174853,37.57220019,42:04.0
C1102833,서울특별시 강동구 아리수로97길 19,강일약국,02-426-8192,1800,1800,1800,1800,1800,1400,2230,2130,900,900,900,900,900,900,1000,900,52,10,127.1771642,37.56660089,42:04.0
C1109087,서울특별시 강동구 아리수로93나길 60 골드프라자 109호 (강일동),강일윤약국,02-3427-2081,1900,1900,1900,1900,1900,1300,2230,2130,830,830,830,830,830,830,1000,900,54,15,127.1751792,37.57228621,42:04.0
C1107699,서울특별시 강남구 역삼로 310 한솔필리아 2층 26호 (역삼동),개나리봄약국,02-501-8284,1900,1900,1900,1900,1900,1400,2230,2130,900,900,900,900,900,900,1000,900,62,17,127.04842,37.49923572,42:04.0
C1108414,서울특별시 송파구 오금로 396 1층 114호 (가락동 에스케이허브파크),개롱약국,02-407-4609,2000,2000,2000,2000,2000,1600,2230,2000,900,900,900,900,900,900,1000,1200,57,69,127.1342156,37.49795485,42:04.0
C1101995,서울특별시 성북구 장월로 128 (장위동),개미약국,02-915-7770,1900,1900,1900,1900,1900,1500,2230,2000,840,840,840,840,840,840,1000,1200,27,66,127.0496106,37.61680455,42:04.0
C1103013,서울특별시 구로구 고척로 123-1 (개봉동),개봉지예당약국,02-2681-0292,2030,2030,2030,2030,2030,2030,2230,2000,830,830,830,830,830,830,1000,1200,82,47,126.8478205,37.50222854,42:04.0
C1104117,서울특별시 구로구 경인로 176 308호 (오류동 시티월드),개성약국,02-2615-1862,1800,1800,1800,1800,1800,1300,2230,2000,900,900,900,900,900,900,1000,1200,82,71,126.8410487,37.49435978,42:04.0
C1101403,서울특별시 강남구 개포로 303,개포메디칼약국,02-574-5410,2030,2030,2030,2030,2030,2030,2230,2000,930,930,930,930,930,930,1000,1200,63,20,127.0556922,37.48272115,42:04.0
C1109592,서울특별시 강남구 영동대로 22 S401동 0412호 (일원동 디에이치 자이 개포),개포이화약국,02-459-7320,1900,1900,1900,1900,1900,1400,2230,2000,900,900,900,900,900,900,1000,1200,63,46,127.074164,37.49109411,42:04.0
C1104795,서울특별시 강남구 선릉로 42 1층 (개포동),개포종로온누리약국,02-575-2485,2000,2000,2000,2000,2000,2000,2230,1700,900,900,900,900,900,900,1000,900,63,25,127.0600373,37.48338708,42:04.0
C1108521,서울특별시 강남구 선릉로 30 개포빌딩 1층 (개포동),개포플러스약국,02-579-2570,2000,2000,2000,2000,2000,1500,2230,1700,900,900,900,900,900,900,1000,900,63,25,127.0611763,37.48251432,42:04.0
C1103507,서울특별시 강서구 양천로 31,개화약국,02-2662-8028,2200,2200,2200,2200,2200,2200,2100,2100,900,900,900,900,900,900,900,900,75,16,126.8074898,37.57290424,42:04.0
C1107272,서울특별시 강남구 선릉로 843 107호,갤러리아온누리약국,02-517-0129,2100,2100,2100,2100,2100,1800,2100,2100,900,900,900,900,900,900,900,900,60,18,127.0402112,37.52721678,42:04.0
C1107363,서울특별시 강남구 학동로20길 55 106호,갤러리약국,02-6227-5578,2230,2230,2230,2230,2230,2230,2100,2100,900,900,900,900,900,900,900,900,61,15,127.0271994,37.51007981,42:04.0
C1103582,서울특별시 송파구 올림픽로 212 (잠실동 갤러리아팰리스),갤러리약국,02-412-8579,1900,1900,1900,1900,1900,1600,2100,2100,900,900,900,900,900,900,900,900,55,53,127.0934314,37.51137482,42:04.0
C1108707,서울특별시 송파구 중대로 135 동관 1층 101-4호 (가락동),강약국,02-2142-3770,1900,1900,1900,1900,1900,1400,2230,1800,900,900,900,900,900,900,1000,900,57,17,127.122427,37.49509597,41:58.0
C1102079,서울특별시 서대문구 응암로 53,거북당약국,02-372-0744,1900,1900,1900,1900,1900,2000,2100,2100,1000,1000,1000,1000,1000,900,900,900,36,81,126.909824,37.5782538,42:04.0
C1102081,서울특별시 송파구 오금로 505 (거여동),거여서울약국,02-2043-3800,2000,2000,2000,2000,2000,1700,2100,2100,900,900,900,900,900,900,900,900,57,68,127.1448411,37.49319579,42:04.0
C1107918,서울특별시 강남구 봉은사로 129 지하1층 (논현동 거평타운),거평원온누리약국,02-544-4567,1830,1830,1830,1830,1830,1400,2100,2100,900,900,900,900,900,900,900,900,61,21,127.0283154,37.5059169,42:04.0
C1103009,서울특별시 서초구 서초대로 307  (서초동),건강과행복이열리는약국,02-591-3399,2100,2100,2100,2100,2100,2100,2100,2100,900,900,900,900,900,900,1300,1300,66,6,127.0151303,37.49440447,42:04.0
C1102082,서울특별시 노원구 한글비석로 242 113호 114호 (중계동 삼부프라자),건강과행복이열리는약국,02-933-9696,2000,2000,2000,2000,2000,2000,1900,2100,900,900,900,900,900,900,1200,1300,17,34,127.0769736,37.6492349,42:04.0
C1104841,서울특별시 동작구 흑석로 106-5 1층 (흑석동),건강과행복이열리는중앙메디칼약국,02-811-1700,1830,1830,1830,1830,1830,1330,1900,2100,830,830,830,830,830,830,1200,1300,69,72,126.9614595,37.50789262,42:04.0
C1104487,서울특별시 은평구 연서로 216 (대조동),건강밝은약국,02-388-4253,1900,1900,1900,1900,1900,1600,1300,1300,900,900,900,900,900,900,1000,1000,33,85,126.920119,37.61780065,42:04.0
C1104109,서울특별시 중구 서소문로 12 (중림동),건강백세약국,02-392-7855,2200,2200,2200,2200,2200,1600,1300,2100,900,900,900,900,900,900,1000,900,45,3,126.9633396,37.55896051,42:04.0
C1103955,서울특별시 강북구 솔매로 59 (미아동),건강비타민약국,02-984-4777,2100,2100,2100,2100,2100,1600,2100,2100,900,900,900,900,900,900,900,900,11,27,127.0188123,37.62499151,42:04.0
C1108360,서울특별시 은평구 갈현로 300 206호 (갈현동),건강샘약국,02-356-6307,1830,1830,1830,1830,1830,1400,2100,2100,900,900,900,900,900,900,900,900,33,28,126.9174214,37.62360836,42:04.0
C1107505,서울특별시 송파구 백제고분로 275 1층 (석촌동),건강샘약국,070-8872-6902,2000,2000,2000,2000,2000,1500,2100,2100,900,900,900,900,900,900,900,900,56,13,127.0973376,37.50277713,42:04.0
C1102052,서울특별시 구로구 경인로 661  (신도림동),건강샘온누리약국,02-3439-8373,1930,1930,1930,1930,1930,1630,2100,2100,930,930,930,930,930,930,900,900,82,8,126.8869872,37.50904858,42:04.0
C1107231,서울특별시 강서구  까치산로  73 1층 (화곡동),건강샘온누리약국,02-2062-0155,2100,2100,2100,2100,2100,2100,2100,2100,900,900,900,900,900,900,900,900,76,79,126.8469517,37.54524537,42:04.0
C1107939,서울특별시 노원구 동일로243길 33 1층 (상계동),건강샘온누리약국,02-931-5688,2000,2000,2000,2000,2000,1600,2100,2100,830,830,830,830,830,830,900,900,16,5,127.0531205,37.6784447,42:04.0
C1102970,서울특별시 영등포구 당산로 164 (당산동4가),건강약국,02-2631-6396,2130,2130,2130,2130,2130,2130,2100,1400,830,830,830,830,830,830,900,830,72,20,126.8983474,37.5290071,42:04.0
C1108684,서울특별시 송파구 백제고분로 162 대양빌딩 1층 103호 (잠실동),건강약국,02-424-3223,1830,1830,1830,1830,1830,1300,2100,1400,900,900,900,900,900,900,900,830,55,76,127.0847152,37.50499829,42:04.0
C1103329,서울특별시 관악구 남부순환로 1539 (신림동),건강약국,02-855-2883,2200,2200,2200,2200,2200,2200,2100,1400,900,900,900,900,900,900,900,830,87,63,126.9215875,37.48340063,42:04.0
C1102039,서울특별시 노원구 화랑로 463 (공릉동),건강약국,02-978-7597,1900,1900,1900,1900,1900,1600,2100,1400,900,900,900,900,900,900,900,830,18,3,127.0786499,37.61899799,42:04.0
C1102971,서울특별시 도봉구 도당로 109 방학동상가주택 1층 102호 (방학동),건강약국,02-3492-3588,2100,2100,2100,2100,2100,2100,2100,1400,900,900,900,900,900,900,900,830,13,53,127.0386021,37.66683528,42:04.0
C1102967,서울특별시 종로구 혜화로 2 1층 (혜화동),건강약국,02-764-9918,1900,1900,1900,1900,1900,1300,2100,1400,900,900,900,900,900,900,900,830,30,76,127.0008922,37.58608759,42:04.0
C1102968,서울특별시 성북구 동소문로 71 (동소문동6가),건강약국,02-935-7971,2000,2000,2000,2000,2000,1800,2100,1400,900,900,900,900,900,900,900,830,28,30,127.0131889,37.59208386,42:04.0
