,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
1109,3240000,3240000-104-2019-00126,20190611,,1,영업/정상,1,영업,,,,,,454.31,134851.0,서울특별시 강동구 성내동 550 ,서울특별시 강동구 성내로 32 12층 (성내동),5399.0,스타벅스 강동구청DT점,20220200000000.0,U,40:00.0,커피숍,210872.7504,447441.9151,커피숍,,,,,,,,,,,,,,Y,454.31,,,
1190,3240000,3240000-104-2019-00046,20190221,,1,영업/정상,1,영업,,,,,02  30151179,351.62,134855.0,서울특별시 강동구 암사동 441-12 ,서울특별시 강동구 고덕로 43 12층 (암사동),5238.0,스타벅스 강동암사DT,20220200000000.0,U,40:00.0,커피숍,211419.2273,450316.3871,커피숍,,,,,,,,,,,,,,Y,351.62,,,
1302,3110000,3110000-104-2022-00065,20220414,,1,영업/정상,1,영업,,,,,,234.11,122873.0,서울특별시 은평구 수색동 30-2,서울특별시 은평구 수색로 216 1층 101102103104105106호 (수색동),3505.0,스타벅스 수색점,20220400000000.0,I,06:00.0,커피숍,191064.0196,453147.7077,,,,,,,,,,,,,,,,,,,
1305,3090000,3090000-104-2022-00032,20220414,,1,영업/정상,1,영업,,,,,,284.53,132854.0,서울특별시 도봉구 방학동 707-6,서울특별시 도봉구 도봉로 684 방학역 모비우스스퀘어 1층 101102113114115호 (방학동),1334.0,스타벅스 방학역점,20220400000000.0,U,04:00.0,커피숍,203799.8653,462533.4302,,,,,,,,,,,,,,,,,,,
1680,3220000,3220000-104-2010-00164,20100511,,3,폐업,2,폐업,20220516.0,,,,02  758 8325,343.08,135860.0,서울특별시 강남구 도곡동 946-14 지상123층,서울특별시 강남구 강남대로 282 (도곡동지상123층),6258.0,스타벅스 뱅뱅사거리점,20220500000000.0,U,08:00.0,커피숍,202802.3752,442929.9922,,,,,,,,,,,,,,,,,,,
1823,3200000,3200000-104-2022-00068,20220422,,1,영업/정상,1,영업,,,,,02  882 4243,295.8,151844.0,서울특별시 관악구 봉천동 927-5 청운빌딩,서울특별시 관악구 남부순환로 1730 청운빌딩 1층 (봉천동),8784.0,스타벅스 봉천역점,20220500000000.0,U,09:00.0,커피숍,194825.7446,442206.8933,,,,,,,,,,,,,,,,,,,
2036,3000000,3000000-104-2022-00126,20220829,,1,영업/정상,1,영업,,,,,02 30151180,512.83,110714.0,서울특별시 종로구 종로1가 1 교보생명빌딩 지하1층,서울특별시 종로구 종로 1 교보생명빌딩 지하1층 (종로1가),3154.0,스타벅스 광화문교보문고점,20220800000000.0,I,01:00.0,커피숍,197993.9046,452032.9586,,,,,,,,,,,,,,,,,,,
2143,3170000,3170000-104-2022-00054,20220523,,1,영업/정상,1,영업,,,,,,230.41,153801.0,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점 1층,서울특별시 금천구 디지털로10길 9 현대시티아울렛 가산점 1층 (일부)호 (가산동),8514.0,스타벅스 가산현대아울렛점,20220500000000.0,I,05:00.0,커피숍,190119.4634,441716.6846,,,,,,,,,,,,,,,,,,,
2188,3060000,3060000-104-2022-00120,20220823,,1,영업/정상,1,영업,,,,,,279.72,131230.0,서울특별시 중랑구 망우동 618 제이타워,서울특별시 중랑구 양원역로10길 3 제이타워 지상1지하1층 101102B101B102호 (망우동),2057.0,스타벅스 양원역점,20220900000000.0,U,05:00.0,커피숍,,,,,,,,,,,,,,,,,,,,,
2247,3010000,3010000-104-2020-00196,20201023,,1,영업/정상,1,영업,,,,,,330.0,100170.0,서울특별시 중구 무교동 32-2,서울특별시 중구 무교로 15 1층 (무교동),4520.0,스타벅스 무교로점,20220500000000.0,U,06:00.0,커피숍,198068.0599,451666.7326,,,,,,,,,,,,,,,,,,,
2342,3100000,3100000-104-2022-00154,20221005,,1,영업/정상,1,영업,,,,,,344.02,139942.0,서울특별시 노원구 상계동 730-4,서울특별시 노원구 동일로215길 2 1층2층 (상계동),1762.0,스타벅스 노원상계점,20221000000000.0,I,07:00.0,커피숍,205308.9238,461020.6648,,,,,,,,,,,,,,,,,,,
2344,3160000,3160000-104-2022-00168,20221005,,1,영업/정상,1,영업,,,,,,483.18,152903.0,서울특별시 구로구 오류동 271,서울특별시 구로구 서해안로 2233 1~2층 (오류동),8358.0,스타벅스 구로오류DT점,20221000000000.0,I,07:00.0,커피숍,185292.683,442894.4491,,,,,,,,,,,,,,,,,,,
2381,3130000,3130000-104-2022-00153,20220526,,1,영업/정상,1,영업,,,,,,395.29,121904.0,서울특별시 마포구 상암동 1623 한샘상암,서울특별시 마포구 성암로 179 한샘상암 1층 일부호 (상암동),3929.0,스타벅스 디지털미디어시티역점,20220500000000.0,I,08:00.0,커피숍,190976.7202,452652.6863,,,,,,,,,,,,,,,,,,,
2810,3020000,3020000-104-2022-00105,20220819,,1,영업/정상,1,영업,,,,,,476.87,140742.0,서울특별시 용산구 청파동2가 53-12 숙명여자대학교,서울특별시 용산구 청파로47길 100 숙명여자대학교 지1층 (청파동2가),4310.0,스타벅스 숙명여대정문점,20220800000000.0,U,08:00.0,커피숍,196831.4618,449320.3704,,,,,,,,,,,,,,,,,,,
2872,3150000,3150000-104-2022-00066,20220317,,1,영업/정상,1,영업,,,,,15223232,239.57,157210.0,서울특별시 강서구 마곡동 759-2 1층 104105106호,서울특별시 강서구 마곡중앙5로 22 1층 104105106호 (마곡동),7788.0,스타벅스 마곡웰튼점,20220400000000.0,U,07:00.0,커피숍,,,,,,,,,,,,,,,,,,,,,
2904,3040000,3040000-104-2022-00049,20220314,,1,영업/정상,1,영업,,,,,,229.34,143859.0,서울특별시 광진구 자양동 855 이튼타워리버3차 1층109호,서울특별시 광진구 능동로 18 1층 109호 (자양동 이튼타워리버3차),5096.0,스타벅스 뚝섬유원지역,20220400000000.0,U,06:00.0,커피숍,205945.9882,447862.352,,,,,,,,,,,,,,,,,,,
3035,3130000,3130000-104-2014-00286,20141216,,3,폐업,2,폐업,20220531.0,,,,,231.0,121840.0,서울특별시 마포구 서교동 395-166 1층일부,서울특별시 마포구 양화로 78 (서교동 1층일부),4043.0,스타벅스커피서교점,20220500000000.0,U,04:00.0,커피숍,192602.6962,449899.3395,,,,,,,,,,,,,,,,,,,
3069,3150000,3150000-104-2022-00191,20220707,,1,영업/정상,1,영업,,,,,226614145,450.87,157853.0,서울특별시 강서구 방화동 645-6,서울특별시 강서구 개화동로 517 (방화동),7612.0,스타벅스 김포공항DT점,20220800000000.0,U,04:00.0,커피숍,182797.9967,451573.4457,,,,,,,,,,,,,,,,,,,
3269,3150000,3150000-104-2021-00279,20210902,,1,영업/정상,1,영업,,,,,,165.9,157930.0,서울특별시 강서구 등촌동 689 NC 강서점 1층 일부,서울특별시 강서구 강서로56길 17 NC 강서점 1층 (등촌동),7584.0,스타벅스 강서NC점,20220300000000.0,U,00:00.0,커피숍,185824.4285,450866.2521,,,,,,,,,,,,,,,,,,,
3305,3240000,3240000-104-2021-00196,20210728,,1,영업/정상,1,영업,,,,,02   4744108,235.0,134885.0,서울특별시 강동구 성내동 448-8 다성빌딩,서울특별시 강동구 강동대로 199 다성빌딩 1층 (성내동),5402.0,스타벅스 올림픽공원북2문점,20220400000000.0,U,05:00.0,커피숍,211309.3565,446899.8128,,,,,,,,,,,,,,,,,,,
3722,3090000,3090000-104-2019-00064,20190611,,1,영업/정상,1,영업,,,,,02 9033791,234.0,132904.0,서울특별시 도봉구 창동 135-26 창동EMART,서울특별시 도봉구 노해로65길 4 창동EMART 12층 (창동),1405.0,스타벅스 창동이마트점,20220700000000.0,U,06:00.0,커피숍,204107.0903,461072.6424,,,,,,,,,,,,,,,,,,,
3764,3150000,3150000-104-2020-00073,20200323,,1,영업/정상,1,영업,,,,,226623881,224.36,157210.0,서울특별시 강서구 마곡동 798-3 1층 101~104호,서울특별시 강서구 공항대로 168 1층 101~104호 (마곡동),7807.0,스타벅스 마곡역점,20220300000000.0,U,00:00.0,커피숍,,,,,,,,,,,,,,,,,,,,,
3991,3230000,3230000-104-2022-00161,20220613,,1,영업/정상,1,영업,,,,,02  30151180,340.57,138813.0,서울특별시 송파구 거여동 21-8,서울특별시 송파구 오금로 493 1~2층 (거여동),5744.0,스타벅스 송파거여역점,20220600000000.0,I,06:00.0,커피숍,212638.4044,443502.4681,,,,,,,,,,,,,,,,,,,
3996,3020000,3020000-104-2022-00078,20220613,,1,영업/정상,1,영업,,,,,,297.05,140861.0,서울특별시 용산구 이태원동 658,서울특별시 용산구 회나무로 3 1층2층 (이태원동),4343.0,스타벅스 경리단길점,20220800000000.0,U,08:00.0,커피숍,198806.8397,448482.5246,,,,,,,,,,,,,,,,,,,
4174,3150000,3150000-104-2018-00134,20180618,,1,영업/정상,1,영업,,,,,230151180,244.4,157835.0,서울특별시 강서구 내발산동 719-6 송화쇼핑센터 (지상 1층) 014~017호,서울특별시 강서구 강서로 267 송화쇼핑센터 1층 014~017호 (내발산동),7639.0,스타벅스 우장산역점,20220300000000.0,U,00:00.0,커피숍,185431.0666,449714.8138,,,,,,,,,,,,,,,,,,,
4306,3150000,3150000-104-2017-00271,20170906,,1,영업/정상,1,영업,,,,,236623504,277.2,157210.0,서울특별시 강서구 마곡동 759-3 보타닉파크타워1 105203204호,서울특별시 강서구 마곡중앙로 161-17 105203204호 (마곡동 보타닉파크타워1 가양1동),7788.0,스타벅스 마곡나루역점,20220300000000.0,U,01:00.0,커피숍,184557.0,451787.0,,,,,,,,,,,,,,,,,,,
4357,3150000,3150000-104-2022-00208,20220727,,1,영업/정상,1,영업,,,,,226064238,290.9,157922.0,서울특별시 강서구 화곡동 1051-27 1층 일부호,서울특별시 강서구 강서로 179 1층 일부호 (화곡동),7714.0,스타벅스 화곡역8번출구점,20220900000000.0,U,01:00.0,커피숍,185731.0512,448913.7609,,,,,,,,,,,,,,,,,,,
4390,3150000,3150000-104-2017-00127,20170427,,1,영업/정상,1,영업,,,,,,217.35,157210.0,서울특별시 강서구 마곡동 773-2 마곡지엠지타워 (지상 1층) 117일부~120호,서울특별시 강서구 마곡중앙6로 16 1층 117일부~120호 (마곡동 가양 1동 마곡지엠지타워),7801.0,스타벅스 마곡GMG점,20220300000000.0,U,00:00.0,커피숍,184816.0,450938.0,,,,,,,,,,,,,,,,,,,
4749,3070000,3070000-104-2022-00126,20220718,,1,영업/정상,1,영업,,,,,,339.15,136075.0,서울특별시 성북구 안암동5가 126-1 고려대학교 안암병원 제1주차장 지상3층 (안암동5가),서울특별시 성북구 고려대로 73 고려대학교 안암병원 제1주차장 지상3층 (안암동5가),2841.0,스타벅스 고대안암병원점,20220700000000.0,U,03:00.0,커피숍,202313.8508,453871.2647,,,,,,,,,,,,,,,,,,,
4808,3160000,3160000-104-2022-00099,20220621,,1,영업/정상,1,영업,,,,,,260.6,152840.0,서울특별시 구로구 구로동 81-3 스페스큐브,서울특별시 구로구 가마산로 232 지하1층 B101호 (구로동 스페스큐브),8307.0,스타벅스 구로구청점,20220800000000.0,U,07:00.0,커피숍,189925.8462,443503.1819,,,,,,,,,,,,,,,,,,,
4865,3060000,3060000-104-2011-00010,20110119,,3,폐업,2,폐업,20220401.0,,,,,87.8,131848.0,서울특별시 중랑구 묵동 170-1 이마트묵동점 지하1층 B101호,서울특별시 중랑구 동일로 932 (묵동이마트묵동점 지하1층 B101호),2033.0,스타벅스묵동이마트점,20220400000000.0,U,03:00.0,커피숍,206777.7314,456837.2196,,,,,,,,,,,,,,,,,,,
4982,3130000,3130000-104-2022-00181,20220623,,1,영업/정상,1,영업,,,,,,134.96,121888.0,서울특별시 마포구 합정동 473 마포 한강 2차 푸르지오,서울특별시 마포구 월드컵로3길 14 2층 227228229호 (합정동 마포 한강 2차 푸르지오),4024.0,스타벅스 합정푸르지오점,20220600000000.0,I,05:00.0,커피숍,192142.2714,449868.9646,,,,,,,,,,,,,,,,,,,
5008,3230000,3230000-104-2013-00027,20130225,,1,영업/정상,1,영업,,,,,,145.51,138829.0,서울특별시 송파구 방이동 89-12 BNK 올림픽프라자,서울특별시 송파구 양재대로 1220 BNK 올림픽프라자 2층 (방이동),5648.0,스타벅스 올림픽아파트점,20220400000000.0,U,07:00.0,커피숍,211708.2647,445907.5829,,,,,,,,,,,,,,,,,,,
5142,3240000,3240000-104-2022-00168,20220725,,1,영업/정상,1,영업,,,,,,478.18,134100.0,서울특별시 강동구 강일동 723,서울특별시 강동구 고덕로 429 1층 (강일동),5217.0,스타벅스 강일역점,20220700000000.0,I,07:00.0,커피숍,215259.7907,450595.4199,,,,,,,,,,,,,,,,,,,
5194,3040000,3040000-104-2022-00055,20220321,,1,영업/정상,1,영업,,,,,,274.81,143884.0,서울특별시 광진구 중곡동 30-80 보건복지행정타운,서울특별시 광진구 능동로 400 보건복지행정타운 108109110111112118호 (중곡동),4933.0,스타벅스중곡역,20220900000000.0,U,01:00.0,커피숍,207401.825,451410.235,,,,,,,,,,,,,,,,,,,
5851,3000000,3000000-104-2019-00038,20190214,,1,영업/정상,1,영업,,,,,230151179,53.35,110140.0,서울특별시 종로구 수송동 110 연합뉴스빌딩 ,서울특별시 종로구 율곡로2길 25 연합뉴스빌딩 1층 (수송동),3143.0,스타벅스 연합뉴스점,20220200000000.0,U,40:00.0,커피숍,198207.0,452455.8332,커피숍,,,,,,,,,,,,,,N,53.35,,,
5974,3000000,3000000-104-2019-00154,20190730,,1,영업/정상,1,영업,,,,,02  30151180,270.03,110759.0,서울특별시 종로구 당주동 128-27 동원빌딩 1층 ,서울특별시 종로구 새문안로3길 15 동원빌딩 1층 (당주동),3175.0,스타벅스 경희궁로점,20220200000000.0,U,40:00.0,커피숍,197484.9839,452162.3045,커피숍,,,,,,,,,,,,,,N,270.03,,,
6148,3000000,3000000-104-2018-00002,20180102,,1,영업/정상,1,영업,,,,,02  737 3544,204.18,110090.0,서울특별시 종로구 교북동 126 경희궁자이 4단지 ,서울특별시 종로구 송월길 155 1층 4114~4119호 (교북동 경희궁자이 4단지),3165.0,스타벅스 독립문역,20220200000000.0,U,40:00.0,커피숍,196563.0,452166.0,커피숍,,,,,,,,,,,,,,N,204.18,,,
6157,3000000,3000000-104-2018-00006,20180111,,1,영업/정상,1,영업,,,,,,399.6,110052.0,서울특별시 종로구 적선동 156 광화문플래티넘 1층 101호,서울특별시 종로구 새문안로5가길 28 광화문플래티넘 1층 101호 (적선동),3170.0,스타벅스정부서울청사R,20220200000000.0,U,40:00.0,커피숍,197595.1613,452460.0546,커피숍,,,,,상수도전용,,,,,,,,,N,399.6,,,
6171,3000000,3000000-104-2006-00072,20061123,,1,영업/정상,1,영업,,,,,30151177,144.6,110410.0,서울특별시 종로구 인의동 48-2 ,,,스타벅스주얼리시티점,20220200000000.0,U,40:00.0,커피숍,199812.6096,452132.6483,커피숍,0.0,0.0,,,,,,,,,,,,N,144.6,,,
6249,3000000,3000000-104-2015-00192,20151109,,1,영업/정상,1,영업,,,,,02  30151178,294.91,110999.0,서울특별시 종로구 신문로1가 163 광화문오피시아빌딩103호203호 ,서울특별시 종로구 새문안로 92 1.2층 (신문로1가 광화문오피시아빌딩103호.203호),3186.0,스타벅스 새문안로점,20220200000000.0,U,40:00.0,커피숍,197713.2649,451938.0377,커피숍,,,,,,,,,,,,,,N,294.91,,,
6272,3000000,3000000-104-2006-00038,20060725,,1,영업/정상,1,영업,,,,,230151100,550.9,110122.0,서울특별시 종로구 종로2가 84-14 (지상 12345층) ,서울특별시 종로구 종로 64 (종로2가(지상 12345층)),3189.0,스타벅스 종각점,20220200000000.0,U,40:00.0,커피숍,198567.9474,451965.8381,커피숍,0.0,0.0,유흥업소밀집지역,,상수도전용,,,,,,,,,N,550.9,,,
6276,3000000,3000000-104-2008-00010,20080128,,1,영업/정상,1,영업,,,,,,151.0,110054.0,서울특별시 종로구 사직동 9 광화문 풍림스페이스본 ,서울특별시 종로구 사직로8길 4 1층 109110호 (사직동 광화문 풍림스페이스본),3168.0,스타벅스 스페이스본점,20220200000000.0,U,40:00.0,커피숍,197181.3933,452458.8267,커피숍,,,기타,기타,상수도전용,,,,,,,,,N,151.0,,,
6346,3000000,3000000-104-2008-00046,20080529,,1,영업/정상,1,영업,,,,,,169.12,110812.0,서울특별시 종로구 명륜3가 154-3 지상1~2층 ,서울특별시 종로구 창경궁로 235 (명륜3가지상1~2층),3073.0,스타벅스성대입구점,20220200000000.0,U,40:00.0,커피숍,199782.5422,453412.7926,커피숍,,,학교정화(상대),기타,상수도전용,,,,,,,,,N,169.12,,,
6528,3000000,3000000-104-2015-00135,20150825,,1,영업/정상,1,영업,,,,,02  758 8954,422.19,110130.0,서울특별시 종로구 청진동 246 지상1층 지상2층 101호201호 디타워 ,서울특별시 종로구 종로3길 17 지상12층 101201호 (청진동 D-타워),3155.0,스타벅스 광화문D타워점,20220200000000.0,U,40:00.0,커피숍,198068.9268,452087.0302,커피숍,,,,,,,,,,,,,,N,422.19,,,
6626,3000000,3000000-104-2011-00046,20110407,,1,영업/정상,1,영업,,,,,230151109,198.0,110150.0,서울특별시 종로구 중학동 14 트윈트리 B동 101호 ,서울특별시 종로구 율곡로 6 (중학동트윈트리 B동 101호),3142.0,스타벅스 경복궁사거리점,20220200000000.0,U,40:00.0,커피숍,198176.1592,452574.6715,커피숍,,,,,,,,,,,,,,N,198.0,,,
6642,3000000,3000000-104-2018-00063,20180409,,1,영업/정상,1,영업,,,,,230151793,224.01,110110.0,서울특별시 종로구 서린동 154-1 광화문우체국 ,서울특별시 종로구 종로 6 광화문우체국 1층 (서린동),3187.0,스타벅스 광화문우체국,20220200000000.0,U,40:00.0,커피숍,197995.2188,451945.0472,커피숍,,,,,,,,,,,,,,N,224.01,,,
6661,3000000,3000000-104-2014-00111,20140610,,1,영업/정상,1,영업,,,,,,400.38,110230.0,서울특별시 종로구 삼청동 112 지상1234층 ,서울특별시 종로구 삼청로 111-1 지상1~4층 (삼청동),3049.0,스타벅스 삼청동점,20220200000000.0,U,40:00.0,커피숍,198319.4076,453675.4071,커피숍,,,,,,,,,,,,,,N,400.38,,,
6682,3000000,3000000-104-2016-00049,20160404,,1,영업/정상,1,영업,,,,,230151100,147.6,110140.0,서울특별시 종로구 수송동 156 1층101호 ,서울특별시 종로구 삼봉로 71 1층 101호 (수송동),3150.0,스타벅스 종로구청점,20220200000000.0,U,40:00.0,커피숍,198260.0632,452262.4846,커피숍,,,,,,,,,,,,,,N,147.6,,,
6685,3000000,3000000-104-2016-00055,20160425,,1,영업/정상,1,영업,,,,,222344265,333.96,110826.0,서울특별시 종로구 숭인동 310 ,서울특별시 종로구 종로 344 12층 101호201호 (숭인동),3114.0,스타벅스 동묘앞역점,20220200000000.0,U,40:00.0,커피숍,201350.4734,452279.7443,커피숍,,,,,상수도전용,,,,,,,,,N,333.96,,,
6732,3000000,3000000-104-2012-00169,20121220,,1,영업/정상,1,영업,,,,,02  30151180,274.48,110420.0,서울특별시 종로구 관수동 3-5 ,서울특별시 종로구 삼일대로20길 13 1~3층 (관수동),3191.0,스타벅스 종로관수점,20220200000000.0,U,40:00.0,커피숍,198930.0229,451940.7683,커피숍,,,,,,,,,,,,,,N,274.48,,,
6746,3000000,3000000-104-2014-00159,20140924,,1,영업/정상,1,영업,,,,,,237.3,110130.0,서울특별시 종로구 청진동 19 지상1~3층 ,서울특별시 종로구 종로5길 30 지상1~3층 (청진동),3158.0,스타벅스 종로수송점,20220200000000.0,U,40:00.0,커피숍,198225.363,452155.1216,커피숍,,,,,,,,,,,,,,Y,237.3,,,
6804,3000000,3000000-104-2013-00002,20130108,,1,영업/정상,1,영업,,,,,02  758 8558,297.0,110460.0,서울특별시 종로구 연건동 128-8 ,서울특별시 종로구 대학로 57 1층 (연건동),3082.0,스타벅스 대학로점,20220200000000.0,U,40:00.0,커피숍,200059.5961,452693.9469,커피숍,,,,,,,,,,,,,,N,297.0,,,
6845,3000000,3000000-104-2011-00120,20110905,,1,영업/정상,1,영업,,,,,02  30151172,277.93,110809.0,서울특별시 종로구 동숭동 30 (지상 123층) ,서울특별시 종로구 동숭길 110 (동숭동(지상 123층)),3085.0,스타벅스 동숭로아트점,20220200000000.0,U,40:00.0,커피숍,200275.4418,453409.1606,커피숍,,,,,,,,,,,,,,N,277.93,,,
6884,3000000,3000000-104-2014-00118,20140617,,1,영업/정상,1,영업,,,,,,409.92,110250.0,서울특별시 종로구 재동 109 지상12층 ,서울특별시 종로구 북촌로 5-1 지상12층 (재동),3060.0,스타벅스 안국점,20220200000000.0,U,40:00.0,커피숍,198662.7167,452786.9048,커피숍,,,기타,,상수도전용,,,,,,,,,Y,409.92,,,
6920,3000000,3000000-104-2010-00136,20101112,,1,영업/정상,1,영업,,,,,,231.0,110040.0,서울특별시 종로구 통의동 35-41 외 4필지 1층 ,서울특별시 종로구 자하문로4길 6 (통의동외 4필지 1층),3044.0,스타벅스 경복궁역,20220200000000.0,U,40:00.0,커피숍,197524.1878,452766.6018,커피숍,,,,,,,,,,,,,,N,231.0,,,
6944,3000000,3000000-104-2014-00179,20141017,,1,영업/정상,1,영업,,,,,02  30151180,286.86,110801.0,서울특별시 종로구 계동 101-14 1~3층 ,서울특별시 종로구 북촌로4길 23 (계동),3056.0,스타벅스 북촌로점,20220200000000.0,U,40:00.0,커피숍,198734.7836,453017.3864,커피숍,,,,,,,,,,,,,,N,286.86,,,
6958,3000000,3000000-104-2011-00089,20110623,,1,영업/정상,1,영업,,,,,235011178,302.0,110140.0,서울특별시 종로구 수송동 146-1 지상1층 ,서울특별시 종로구 종로1길 42 (수송동지상1층),3152.0,스타벅스 이마빌딩점,20220200000000.0,U,40:00.0,커피숍,198076.879,452402.1953,커피숍,,,,,,,,,,,,,,N,302.0,,,
6962,3000000,3000000-104-2010-00145,20101123,,1,영업/정상,1,영업,,,,,02  30151172,200.0,110111.0,서울특별시 종로구 관철동 12-15 2층 ,서울특별시 종로구 종로12길 21 (관철동2층),3190.0,스타벅스 종로관철점,20220200000000.0,U,40:00.0,커피숍,198692.6279,451865.6943,커피숍,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,200.0,,,
